id,name,absolute_magnitude_h,estimated_diameter_km,relative_velocity_kms,miss_distance_ld,orbiting_body,is_potentially_hazardous_asteroid
2001620,1620 Geographos (1951 RA),15.27,5.2485577338,11.7628115427,13.1867962688,Earth,True
2001863,1863 Antinous (1948 EA),15.46,4.8088361393,18.0795126569,34.7886678692,Mars,False
2001915,1915 Quetzalcoatl (1953 EA),18.38,1.2532565376,15.120986141,9.8542651279,Earth,False
2001917,1917 Cuyo (1968 AA),14.38,7.907514169,15.2344898243,43.8729657693,Earth,False
2002063,2063 Bacchus (1977 HB),17.21,2.1480282008,10.3891121599,25.8987062001,Venus,False
2002100,2100 Ra-Shalom (1978 RA),16.25,3.3422580561,17.9951279067,31.8126578346,Merc,False
2002102,2102 Tantalus (1975 YA),16.0,3.750075218,33.9011179621,28.5509495897,Earth,True
2002201,2201 Oljato (1947 XC),15.32,5.1290859738,25.3456267744,67.205314256,Earth,True
2002340,2340 Hathor (1976 UA),20.43,0.4875733714,17.4915658691,30.9727613216,Merc,True
2000719,719 Albert (A911 TB),15.59,4.529392731,3.446029003,664.7131734861,Juptr,False
2000887,887 Alinda (A918 AA),13.81,10.2811093604,7.095973685,53.2069312604,Earth,False
2001627,1627 Ivar (1929 SH),12.79,16.4452310205,6.5498704866,64.7770951884,Earth,False
2001916,1916 Boreas (1953 RA),14.92,6.1665176484,0.0,0.0,Earth,False
2001943,1943 Anteros (1973 EC),15.69,4.3255364773,7.2023034103,47.9274399096,Earth,False
2002101,2101 Adonis (1936 CA),18.69,1.0865256386,19.3298299696,73.1750339808,Earth,True
2002135,2135 Aristaeus (1977 HA),18.05,1.4589485569,27.4377860884,185.6098023246,Earth,True
2000433,433 Eros (A898 PA),10.39,49.6638037128,5.5786191875,122.5074468577,Earth,False
2001036,1036 Ganymed (A924 UB),9.18,86.70416872,6.3038663663,760.9838320653,Juptr,False
2001685,1685 Toro (1948 OA),14.28,8.2801838305,16.1350821461,68.8655169697,Earth,False
2001980,1980 Tezcatlipoca (1950 LA),13.81,10.2811093604,0.0,0.0,Earth,False
2002059,2059 Baboquivari (1963 UA),15.98,3.7847742368,3.2390038886,539.3460448654,Juptr,False
2002062,2062 Aten (1976 AA),17.11,2.249261651,11.2688208334,48.9776275275,Earth,False
2002329,2329 Orthos (1976 WA),14.58,7.2117386345,23.4239211559,189.0300121983,Earth,False
2001221,1221 Amor (1932 EA1),17.37,1.9954459964,10.7701740589,71.5418486786,Earth,False
2001566,1566 Icarus (1949 MA),16.53,2.9379200884,27.0080561011,32.8643601018,Earth,True
2001580,1580 Betulia (1950 KA),14.61,7.1127898709,11.3576547428,719.4781948824,Juptr,False
2001862,1862 Apollo (1932 HA),16.08,3.6144313359,11.6407136972,25.5865499603,Venus,True
2001864,1864 Daedalus (1971 FA),14.84,6.3979372868,21.1217901741,57.2712513408,Venus,False
2001865,1865 Cerberus (1971 UA),16.79,2.6063934693,20.574000903,41.1356182045,Venus,False
2001866,1866 Sisyphus (1972 XA),12.48,18.9688052962,23.0737678663,76.7976193929,Earth,False
2001981,1981 Midas (1973 EA),15.25,5.2971220406,31.4029236814,60.326668101,Earth,True
2002061,2061 Anza (1960 UA),16.7,2.7166893409,6.8951216486,26.6813103263,Earth,False
2002202,2202 Pele (1972 RA),16.98,2.3880311019,6.4939303073,58.447316519,Earth,False
2002212,2212 Hephaistos (1978 SB),13.5,11.8587790858,29.4211457716,45.8626197406,Venus,False
2002608,2608 Seneca (1978 DA),17.48,1.8968805296,17.1348117091,67.0145234488,Earth,False
2003122,3122 Florence (1981 ET3),14.08,9.0790410302,13.9543936845,20.3806982156,Earth,True
2003271,3271 Ul (1982 RB),16.57,2.8842970035,13.670272508,29.0822554369,Mars,False
2003551,3551 Verenia (1983 RD),16.72,2.6917825833,8.0029025934,33.1655528045,Earth,False
2003691,3691 Bede (1982 FT),14.93,6.1381850734,0.0,0.0,Earth,False
2003752,3752 Camillo (1985 PA),15.15,5.5467677112,29.1012701156,36.5729208157,Earth,False
2003908,3908 Nyx (1980 PA),17.45,1.9232687664,9.7158922895,36.2121287228,Mars,False
2004055,4055 Magellan (1985 DO2),14.93,6.1381850734,0.0,0.0,Earth,False
2004197,4197 Morpheus (1982 TA),14.97,6.0261505697,28.5627059477,69.2736975872,Earth,False
2003102,3102 Krok (1981 QA),16.16,3.4836938254,6.127545116,77.350288381,Earth,False
2003103,3103 Eger (1982 BB),15.3,5.176544822,16.9574701096,68.6614200285,Earth,False
2003199,3199 Nefertiti (1982 RA),14.99,5.9709024892,13.4221932631,18.3241603234,Mars,False
2003200,3200 Phaethon (1983 TB),14.39,7.8711824416,33.8777864713,58.107197092,Venus,True
2003352,3352 McAuliffe (1981 CW),15.93,3.8729329538,0.0,0.0,Earth,False
2003361,3361 Orpheus (1982 HR),19.56,0.727846803,12.9576035107,57.9044560492,Earth,True
2003362,3362 Khufu (1984 QA),18.52,1.1750057146,30.0103355297,189.5139246973,Earth,True
